Field,Value
Project title,The Second Question of Technology
Project slug,the_second_question_of_technology
Intended runtime,2:45-3:20
Target audience,Smart general audience; no engineering training required.
Core thesis,All meaningful technological failures can be understood as failures of alternatives.
Deterministic edit owner,"Python/ffmpeg assembly: timing, labels, logos, specific images, audio mux, metadata."
AI video role,Context visuals only; generated audio stripped; clips looped/trimmed to scripted scene duration.
Locked local scenes,"1, 8, 9"
Comparison scenes,"3, 5"
Provider profiles,"sora, gemini_omni"
Metadata generated UTC,2026-07-05T02:15:13+00:00
DDEX status,Draft ERN-style crosswalk; not recipient-profile-validated.
