Key,Title,URL,Claim,Use in video,License note
challenger,NASA Rogers Commission - Challenger accident sequence,https://www.nasa.gov/history/rogersrep/v1ch4.htm,Right SRM aft field joint pressure seal failure and hot gas leak.,Mechanism diagram: pressure seal failure -> hot gas leak -> no alternate vehicle integrity.,Source/audit reference; check source terms before reusing media.
chernobyl,OECD/NEA Chernobyl accident sequence,https://oecd-nea.org/jcms/pl_28271/chernobyl-chapter-i-the-site-and-accident-sequence,RBMK positive void coefficient and steam/reactivity feedback under test conditions.,Feedback-loop diagram: more steam -> more reactivity -> more heat -> more steam.,Source/audit reference; check source terms before reusing media.
fukushima,TEPCO Fukushima accident sequence,https://www.tepco.co.jp/en/hd/decommission/project/accident/index-e.html,Earthquake shutdown followed by off-site power loss and tsunami flooding of emergency power/cooling systems.,"Power-chain diagram: grid, diesel, tsunami flooding, battery/cooling loss.",Source/audit reference; check source terms before reusing media.
737max,Boeing 737 MAX MCAS explanation,https://www.boeing.com/content/dam/microsites/static/737-max-updates/mcas/index.html,Original MCAS used one angle-of-attack input and could repeatedly command nose-down trim.,Single-sensor automation diagram.,Source/audit reference; check source terms before reusing media.
deepwater,U.S. Chemical Safety Board Deepwater Horizon BOP findings,https://www.csb.gov/csb-board-approves-final-report-finding-deepwater-horizon-blowout-preventer-failed-due-to-unrecognized-pipe-buckling-phenomenon-during-emergency-well-control-efforts-on-april-20-2010-leading-to-environmental-disaster-in-gulf-of-mexico/,Blind shear ram did not seal buckled/off-center drill pipe; last barrier failed.,Well/BOP cutaway: last barrier failed -> no fast containment path.,Source/audit reference; check source terms before reusing media.
blackout2003,U.S.-Canada Task Force 2003 Northeast Blackout report summary,https://www.osti.gov/etdeweb/biblio/20461178,Disturbance and line trips propagated into a broader cascade with situational-awareness failures.,Grid cascade diagram.,Source/audit reference; check source terms before reusing media.
tacoma,WSDOT Tacoma Narrows Bridge failure explanation,https://wsdot.wa.gov/TNBhistory/bridges-failure.htm,Aeroelastic/torsional flutter; wind energy coupled into flexible deck motion.,Flexible deck motion diagram; avoid simple resonance wording.,Source/audit reference; check source terms before reusing media.
hyatt,NBS/NIST Hyatt Regency collapse investigation summary,https://digital.library.unt.edu/ark:/67531/metadc38324/m1/262/,Hanger rod design change doubled fourth-floor box-beam connection load; no reserve capacity.,Connection diagram: continuous rod vs interrupted rods.,Source/audit reference; check source terms before reusing media.
molasses,City of Boston archive - Great Molasses Flood,https://www.boston.gov/news/100-years-ago-today-molasses-crashes-through-bostons-north-end,Large molasses tank failed in dense neighborhood with no secondary containment.,Stored hazard + failed vessel + no containment diagram.,Source/audit reference; check source terms before reusing media.
amazon_lawsuit,Cross v. Amazon complaint via FarmSTAND,https://farmstand.org/wp-content/uploads/2024/04/Cross-v-Amazon-Complaint.pdf,Lawsuit alleges pace and tracking prevented reasonable bathroom breaks.,Route map labeled exactly: lawsuit alleges: work pace + tracking prevented breaks.,Source/audit reference; check source terms before reusing media.
smart_fridge_ads,Samsung support - Family Hub cover screen ads,https://www.samsung.com/us/support/answer/ANS10007562/,Support page describes ads on Family Hub cover screen and how to turn them off.,Purchased appliance -> software update/policy -> ads on screen.,Source/audit reference; check source terms before reusing media.
mellow,GearBrain - Mellow sous-vide subscription coverage,https://www.gearbrain.com/mellow-sous-vide-subscription-2646825555.html,Owners reported smart features became subscription-gated with manual control fallback.,Paid device -> server features -> subscription required -> manual mode only.,Source/audit reference; check source terms before reusing media.
insteon,WIRED - Insteon smart-home shutdown,https://www.wired.com/story/insteon-shutdown/,Connected switches and sensors lost server connectivity after cloud shutdown.,Home control coupled to vendor survival.,Source/audit reference; check source terms before reusing media.
uber_unsw,UNSW BusinessThink - Uber algorithmic management,https://businessthink.unsw.edu.au/articles/uber-algorithmic-management,"Research summary describes ratings, GPS monitoring, rider allocation, dynamic pricing, and chatbot support.",Work coupled to opaque platform rules.,Source/audit reference; check source terms before reusing media.
